entry_id,phrase_id,phrase_alt_raw,phrase_alt_norm,phrase_ru,raw_block
8635,1,ӧӧч тартынар втягивать воздух,ӧӧч тартынар втягивать воздух,"Кызыл тын, кыл ӧӧч (Погов.) Еле-еле душа в теле (букв. Красное дыхание, трахея с волоск)","ӧӧч тартынар втягивать воздух; Кызыл тын, кыл ööч (Погов.) Еле-еле душа в теле (букв. Красное дыхание, трахея с волоск)"
8636,1,ӧӧш тартынар втягивать воздух,ӧӧш тартынар втягивать воздух,,ӧöш тартынар втягивать воздух
8655,1,ӧрӧ кӧдӱрилер (чыгар) пойти в гору,ӧрӧ кӧдӱрилер (чыгар) пойти в гору,"ӧрӧ чыкпас неудачник (о человеке, который не может выбиться в люди)","ӧрӧ кӧдӱрилер (чыгар) пойти в гору; ӧрӧ чыкпас неудачник (о человеке, который не может выбиться в люди)"
8663,1,"Агаш узунду-кыскалу болор, jӱрӱм","агаш узунду-кыскалу болор, jӱрӱм","ӧрӧлӱтӧмӧндӱ болор (Посл.) Деревья высокими и низкими бывают, жизнь — и хорошей, и плохой бывает","Агаш узунду-кыскалу болор, jÿрÿм — öрöлÿ- тöмöндÿ болор (Посл.) Деревья высокими и низкими бывают, жизнь — и хорошей, и пло- хой бывает"
8672,1,тегин јердеҥ ӧрт чыкпас нет дыма без огня,тегин јердеҥ ӧрт чыкпас нет дыма без огня,,тегин јердеҥ öрт чыкпас нет дыма без огня
8701,1,"ӧс адалгыштар грам. имена собственные 1) расти, вырастать, подрастать","ӧс адалгыштар грам. имена собственные 1) расти, вырастать, подрастать",,"öс адалгыштар грам. имена собственные 1) расти, вырастать, подрастать;"
8703,1,Ӧскӧ айылдыҥ ийди ӧскӧ айылга ӱрбес (Посл.) Собака другого дома на чужой дом лаять не будет,ӧскӧ айылдыҥ ийди ӧскӧ айылга ӱрбес (посл.) собака другого дома на чужой дом лаять не будет,,Öскö айылдыҥ ийди öскö айылга ÿрбес (Посл.) Собака другого дома на чужой дом лаять не будет
8707,1,"Ӧскӧн jерин ӧскӧлӧбӧс, баскан jерин башкалабас (Посл.) Земли, где вырос, не чуждаются, зем- лю, где ходили, не сторонятся","ӧскӧн jерин ӧскӧлӧбӧс, баскан jерин башкалабас (посл.) земли, где вырос, не чуждаются, землю, где ходили, не сторонятся",,"Öскöн jерин öскöлöбöс, баскан jерин башкалабас (Посл.) Земли, где вырос, не чуждаются, зем- лю, где ходили, не сторонятся"
8726,1,ӧскӱс артар осиротеть,ӧскӱс артар осиротеть,"ӧскӱстердиҥ туразы детский дом; Энениҥ ӧскӱзи — эки ӧскӱс, аданыҥ ӧскӱзи — бир ӧскӱс (Погов.) Сирота без матери — дважды сирота, сирота без отца — один раз сирота; Ӧскӱсти ӧрӧ тарт, jабысты jаба тарт (Посл.) Сироту вверх тяни, беспомощного за собой тяни","ӧскӱс артар осиротеть; ӧскӱстердиҥ туразы детский дом; Энениҥ öскÿзи — эки öскÿс, аданыҥ öскÿзи — бир öскÿс (По- гов.) Сирота без матери — дважды сирота, сирота без отца — один раз сирота; Öскÿсти öрö тарт, jабысты jаба тарт (Посл.) Сироту вверх тяни, беспомощного за собой тяни"
8727,1,"балдар Ӧскӱс-jабысты ба- (Посл.) Сироту не зынба, ӧтпӧгин блаашпа обижай, лепёшку его не отбирай","балдар ӧскӱс-jабысты ба- (посл.) сироту не зынба, ӧтпӧгин блаашпа обижай, лепёшку его не отбирай",,"балдар Öскÿс-jабысты ба- (Посл.) Сироту не зынба, öтпöгин блаашпа обижай, лепёшку его не отбирай"
8734,1,ӧткӧк оору мед. дизентерия,ӧткӧк оору мед. дизентерия,,öткöк оору мед. дизентерия
8739,1,ӧткӱн бычак острый нож,ӧткӱн бычак острый нож,ӧткӱн оору понос,öткӱн бычак острый нож; öткÿн оору понос
8742,1,ӧткӱре кӧрӧр видеть насквозь,ӧткӱре кӧрӧр видеть насквозь,,ӧткӱре кӧрӧр видеть насквозь
